309.841, 129.491, 3.914,  4.379 False
309.709, 129.492, 3.943,  4.412 False
309.577, 129.492, 3.974,  4.445 False
309.444, 129.492, 4.003,  4.478 False
309.310, 129.492, 4.034,  4.511 False
309.175, 129.492, 4.063,  4.544 False
309.038, 129.492, 4.094,  4.577 False
308.901, 129.492, 4.123,  4.610 False
308.763, 129.492, 4.153,  4.643 False
308.624, 129.492, 4.182,  4.676 False
308.484, 129.492, 4.212,  4.709 False
308.343, 129.492, 4.240,  4.742 False
308.200, 129.492, 4.270,  4.775 False
308.057, 129.492, 4.299,  4.808 False
307.913, 129.492, 4.329,  4.841 False
307.768, 129.492, 4.357,  4.874 False
307.622, 129.492, 4.388,  4.907 False
307.475, 129.492, 4.416,  4.940 False
307.327, 129.492, 4.447,  4.973 False
307.179, 129.492, 4.475,  5.006 False
307.029, 129.492, 4.506,  5.039 False
306.878, 129.492, 4.534,  5.072 False
306.726, 129.492, 4.565,  5.105 False
306.573, 129.492, 4.593,  5.138 False
306.419, 129.492, 4.624,  5.171 False
306.264, 129.492, 4.653,  5.204 False
306.108, 129.492, 4.683,  5.237 False
305.952, 129.492, 4.712,  5.270 False
305.794, 129.492, 4.742,  5.303 False
305.635, 129.492, 4.771,  5.336 False
305.475, 129.492, 4.801,  5.369 False
305.314, 129.492, 4.829,  5.402 False
305.153, 129.492, 4.860,  5.435 False
304.990, 129.492, 4.888,  5.468 False
304.826, 129.492, 4.918,  5.501 False
304.662, 129.492, 4.947,  5.534 False
304.496, 129.493, 4.977,  5.567 False
304.329, 129.493, 5.005,  5.600 False
304.162, 129.493, 5.036,  5.633 False
303.993, 129.493, 5.064,  5.666 False
303.824, 129.493, 5.095,  5.699 False
303.653, 129.493, 5.123,  5.732 False
303.481, 129.493, 5.154,  5.765 False
303.309, 129.493, 5.180,  5.798 False
303.136, 129.493, 5.205,  5.831 False
302.962, 129.493, 5.213,  5.864 False
302.788, 129.493, 5.210,  5.897 False
302.615, 129.493, 5.209,  5.930 False
302.441, 129.493, 5.216,  5.963 False
302.267, 129.493, 5.230,  5.996 False
302.092, 129.493, 5.255,  6.029 False
301.917, 129.496, 5.282,  6.062 False
301.739, 129.501, 5.322,  6.095 False
301.561, 129.507, 5.362,  6.128 False
301.381, 129.514, 5.406,  6.161 False
301.200, 129.522, 5.448,  6.194 False
301.017, 129.530, 5.492,  6.227 False
300.833, 129.539, 5.531,  6.260 False
300.647, 129.549, 5.572,  6.293 False
300.461, 129.560, 5.607,  6.326 False
300.273, 129.572, 5.645,  6.359 False
300.085, 129.585, 5.678,  6.392 False
299.895, 129.598, 5.714,  6.425 False
299.704, 129.613, 5.746,  6.458 False
299.512, 129.628, 5.781,  6.491 False
299.319, 129.644, 5.812,  6.524 False
299.125, 129.661, 5.846,  6.557 False
298.930, 129.676, 5.879,  6.590 False
298.734, 129.691, 5.915,  6.623 False
298.536, 129.705, 5.946,  6.656 False
298.338, 129.720, 5.978,  6.689 False
298.138, 129.735, 6.007,  6.722 False
297.938, 129.751, 6.038,  6.755 False
297.737, 129.766, 6.067,  6.788 False
297.534, 129.782, 6.099,  6.821 False
297.331, 129.797, 6.128,  6.854 False
297.126, 129.813, 6.159,  6.887 False
296.921, 129.830, 6.188,  6.920 False
296.714, 129.847, 6.221,  6.953 False
296.507, 129.864, 6.250,  6.986 False
296.298, 129.881, 6.282,  7.019 False
296.089, 129.898, 6.312,  7.052 False
295.878, 129.916, 6.344,  7.085 False
295.667, 129.933, 6.373,  7.118 False
295.454, 129.952, 6.404,  7.151 False
295.241, 129.969, 6.433,  7.184 False
295.026, 129.987, 6.465,  7.217 False
294.811, 130.005, 6.493,  7.250 False
294.594, 130.023, 6.525,  7.283 False
294.377, 130.042, 6.553,  7.316 False
294.158, 130.060, 6.584,  7.349 False
293.939, 130.078, 6.612,  7.382 False
293.718, 130.097, 6.643,  7.415 False
293.497, 130.115, 6.672,  7.448 False
293.274, 130.134, 6.703,  7.481 False
293.051, 130.153, 6.730,  7.514 False
292.827, 130.171, 6.761,  7.547 False
292.601, 130.190, 6.787,  7.580 False
292.375, 130.209, 6.817,  7.613 False
292.148, 130.228, 6.844,  7.646 False
291.920, 130.247, 6.874,  7.679 False
291.691, 130.266, 6.900,  7.712 False
291.461, 130.285, 6.930,  7.745 False
291.230, 130.304, 6.957,  7.778 False
290.998, 130.323, 6.987,  7.811 False
290.765, 130.342, 7.014,  7.844 False
290.531, 130.361, 7.044,  7.877 False
290.296, 130.380, 7.071,  7.910 False
290.061, 130.399, 7.101,  7.943 False
289.824, 130.418, 7.128,  7.976 False
289.586, 130.437, 7.158,  8.009 False
289.348, 130.456, 7.184,  8.042 False
289.108, 130.475, 7.215,  8.075 False
288.868, 130.493, 7.241,  8.108 False
288.626, 130.512, 7.271,  8.141 False
288.384, 130.531, 7.298,  8.174 False
288.141, 130.549, 7.328,  8.207 False
287.897, 130.568, 7.354,  8.240 False
287.651, 130.586, 7.384,  8.273 False
287.405, 130.605, 7.410,  8.306 False
287.158, 130.623, 7.440,  8.339 False
286.910, 130.640, 7.466,  8.372 False
286.661, 130.658, 7.496,  8.405 False
286.411, 130.675, 7.522,  8.438 False
286.160, 130.692, 7.552,  8.471 False
285.908, 130.709, 7.579,  8.504 False
285.656, 130.726, 7.608,  8.537 False
285.402, 130.743, 7.635,  8.570 False
285.147, 130.759, 7.664,  8.603 False
284.892, 130.776, 7.690,  8.636 False
284.635, 130.792, 7.719,  8.669 False
284.378, 130.808, 7.745,  8.702 False
284.119, 130.825, 7.774,  8.735 False
283.860, 130.838, 7.797,  8.768 False
283.600, 130.850, 7.826,  8.801 False
283.338, 130.861, 7.852,  8.834 False
283.076, 130.872, 7.884,  8.867 False
282.813, 130.881, 7.911,  8.900 False
282.548, 130.889, 7.942,  8.933 False
282.283, 130.895, 7.969,  8.966 False
282.017, 130.901, 7.999,  8.999 False
281.749, 130.907, 8.027,  9.032 False
281.481, 130.912, 8.058,  9.065 False
281.212, 130.916, 8.084,  9.098 False
280.942, 130.919, 8.114,  9.131 False
280.671, 130.921, 8.140,  9.164 False
280.399, 130.923, 8.170,  9.197 False
280.126, 130.924, 8.196,  9.230 False
279.852, 130.924, 8.226,  9.263 False
279.577, 130.922, 8.252,  9.296 False
279.301, 130.920, 8.278,  9.329 False
279.025, 130.917, 8.299,  9.362 False
278.748, 130.912, 8.316,  9.395 False
278.471, 130.908, 8.329,  9.428 False
278.193, 130.903, 8.339,  9.461 False
277.915, 130.897, 8.347,  9.494 False
277.637, 130.892, 8.354,  9.527 False
277.358, 130.885, 8.360,  9.560 False
277.080, 130.877, 8.365,  9.593 False
276.801, 130.869, 8.369,  9.626 False
276.522, 130.860, 8.373,  9.659 False
276.243, 130.850, 8.376,  9.692 False
275.965, 130.839, 8.379,  9.725 False
275.685, 130.828, 8.382,  9.758 False
275.406, 130.817, 8.385,  9.791 False
275.127, 130.806, 8.387,  9.824 False
274.848, 130.794, 8.388,  9.857 False
274.569, 130.783, 8.389,  9.890 False
274.289, 130.771, 8.390,  9.923 False
274.010, 130.758, 8.391,  9.956 False
273.730, 130.744, 8.392,  9.989 False
273.451, 130.731, 8.392, 10.022 False
273.172, 130.716, 8.392, 10.055 False
272.893, 130.702, 8.393, 10.088 False
272.613, 130.686, 8.393, 10.121 False
272.334, 130.672, 8.393, 10.154 False
272.055, 130.657, 8.393, 10.187 False
271.775, 130.642, 8.392, 10.220 False
271.496, 130.626, 8.392, 10.253 False
271.217, 130.611, 8.392, 10.286 False
270.938, 130.595, 8.391, 10.319 False
270.658, 130.580, 8.391, 10.352 False
270.379, 130.564, 8.390, 10.385 False
270.100, 130.547, 8.389, 10.418 False
269.821, 130.530, 8.389, 10.451 False
269.542, 130.514, 8.388, 10.484 False
269.263, 130.497, 8.387, 10.517 False
268.984, 130.481, 8.386, 10.550 False
268.705, 130.464, 8.386, 10.583 False
268.426, 130.447, 8.385, 10.616 False
268.147, 130.430, 8.384, 10.649 False
267.868, 130.414, 8.383, 10.682 False
267.589, 130.397, 8.382, 10.715 False
267.310, 130.379, 8.381, 10.748 False
267.031, 130.362, 8.380, 10.781 False
266.752, 130.345, 8.380, 10.814 False
266.474, 130.328, 8.379, 10.847 False
266.195, 130.311, 8.378, 10.880 False
265.916, 130.293, 8.377, 10.913 False
265.638, 130.276, 8.376, 10.946 False
265.359, 130.259, 8.375, 10.979 False
265.080, 130.242, 8.374, 11.012 False
264.802, 130.225, 8.373, 11.045 False
264.523, 130.207, 8.373, 11.078 False
264.245, 130.190, 8.372, 11.111 False
263.966, 130.173, 8.371, 11.144 False
263.688, 130.156, 8.370, 11.177 False
263.409, 130.139, 8.369, 11.210 False
263.131, 130.122, 8.369, 11.243 False
262.852, 130.105, 8.368, 11.276 False
262.574, 130.088, 8.367, 11.309 False
262.295, 130.071, 8.366, 11.342 False
262.017, 130.054, 8.365, 11.375 False
261.739, 130.037, 8.365, 11.408 False
261.461, 130.021, 8.364, 11.441 False
261.182, 130.004, 8.363, 11.474 False
260.904, 129.987, 8.363, 11.507 False
260.626, 129.971, 8.362, 11.540 False
260.347, 129.955, 8.361, 11.573 False
260.069, 129.938, 8.361, 11.606 False
259.791, 129.922, 8.360, 11.639 False
259.513, 129.906, 8.359, 11.672 False
259.235, 129.890, 8.359, 11.705 False
258.957, 129.874, 8.358, 11.738 False
258.678, 129.858, 8.357, 11.771 False
258.400, 129.843, 8.357, 11.804 False
258.122, 129.827, 8.356, 11.837 False
257.844, 129.812, 8.356, 11.870 False
257.566, 129.796, 8.355, 11.903 False
257.288, 129.781, 8.355, 11.936 False
257.010, 129.766, 8.354, 11.969 False
256.732, 129.751, 8.354, 12.002 False
256.454, 129.736, 8.353, 12.035 False
256.176, 129.722, 8.352, 12.068 False
255.898, 129.708, 8.352, 12.101 False
255.620, 129.694, 8.351, 12.134 False
255.341, 129.680, 8.351, 12.167 False
255.063, 129.667, 8.351, 12.200 False
254.785, 129.653, 8.350, 12.233 False
254.507, 129.640, 8.350, 12.266 False
254.229, 129.626, 8.350, 12.299 False
253.951, 129.613, 8.349, 12.332 False
253.673, 129.600, 8.349, 12.365 False
253.395, 129.587, 8.348, 12.398 False
253.117, 129.575, 8.348, 12.431 False
252.840, 129.562, 8.348, 12.464 False
252.562, 129.550, 8.347, 12.497 False
252.284, 129.538, 8.347, 12.530 False
252.006, 129.526, 8.346, 12.563 False
251.728, 129.515, 8.346, 12.596 False
251.450, 129.504, 8.346, 12.629 False
251.172, 129.493, 8.346, 12.662 False
250.894, 129.482, 8.345, 12.695 False
250.616, 129.472, 8.345, 12.728 False
250.338, 129.461, 8.345, 12.761 False
250.060, 129.451, 8.344, 12.794 False
249.782, 129.440, 8.344, 12.827 False
249.504, 129.430, 8.344, 12.860 False
249.226, 129.421, 8.343, 12.893 False
248.948, 129.412, 8.343, 12.926 False
248.670, 129.403, 8.343, 12.959 False
248.392, 129.393, 8.343, 12.992 False
248.114, 129.385, 8.342, 13.025 False
247.836, 129.376, 8.342, 13.058 False
247.558, 129.368, 8.342, 13.091 False
247.280, 129.359, 8.342, 13.124 False
247.002, 129.351, 8.342, 13.157 False
246.724, 129.344, 8.341, 13.190 False
246.447, 129.336, 8.341, 13.223 False
246.169, 129.329, 8.341, 13.256 False
245.891, 129.321, 8.341, 13.289 False
245.613, 129.314, 8.341, 13.322 False
245.335, 129.307, 8.340, 13.355 False
245.057, 129.300, 8.340, 13.388 False
244.779, 129.293, 8.340, 13.421 False
244.501, 129.287, 8.340, 13.454 False
244.223, 129.280, 8.340, 13.487 False
243.945, 129.274, 8.340, 13.520 False
243.667, 129.268, 8.339, 13.553 False
243.389, 129.261, 8.339, 13.586 False
243.111, 129.256, 8.339, 13.619 False
242.834, 129.250, 8.339, 13.652 False
242.556, 129.244, 8.339, 13.685 False
242.278, 129.239, 8.339, 13.718 False
242.000, 129.234, 8.338, 13.751 False
241.722, 129.229, 8.338, 13.784 False
241.444, 129.224, 8.338, 13.817 False
241.166, 129.220, 8.338, 13.850 False
240.888, 129.215, 8.338, 13.883 False
240.610, 129.211, 8.338, 13.916 False
240.332, 129.207, 8.338, 13.949 False
240.055, 129.203, 8.338, 13.982 False
239.777, 129.199, 8.337, 14.015 False
239.499, 129.196, 8.337, 14.048 False
239.221, 129.193, 8.337, 14.081 False
238.943, 129.190, 8.337, 14.114 False
238.665, 129.187, 8.337, 14.147 False
238.387, 129.184, 8.337, 14.180 False
238.109, 129.181, 8.337, 14.213 False
237.831, 129.179, 8.337, 14.246 False
237.554, 129.177, 8.336, 14.279 False
237.276, 129.175, 8.336, 14.312 False
236.998, 129.173, 8.336, 14.345 False
236.720, 129.171, 8.336, 14.378 False
236.442, 129.169, 8.336, 14.411 False
236.164, 129.168, 8.336, 14.444 False
235.886, 129.166, 8.336, 14.477 False
235.608, 129.165, 8.336, 14.510 False
235.331, 129.164, 8.336, 14.543 False
235.053, 129.162, 8.336, 14.576 False
234.775, 129.161, 8.336, 14.609 False
234.497, 129.160, 8.336, 14.642 False
234.219, 129.159, 8.336, 14.675 False
233.941, 129.159, 8.336, 14.708 False
233.663, 129.158, 8.336, 14.741 False
233.386, 129.157, 8.336, 14.774 False
233.108, 129.158, 8.335, 14.807 False
232.830, 129.157, 8.335, 14.840 False
232.552, 129.157, 8.335, 14.873 False
232.274, 129.157, 8.335, 14.906 False
231.996, 129.157, 8.335, 14.939 False
231.718, 129.157, 8.335, 14.972 False
231.441, 129.158, 8.335, 15.005 False
231.163, 129.158, 8.335, 15.038 False
230.885, 129.159, 8.335, 15.071 False
230.607, 129.159, 8.335, 15.104 False
230.329, 129.160, 8.335, 15.137 False
230.051, 129.160, 8.335, 15.170 False
229.774, 129.161, 8.335, 15.203 False
229.496, 129.162, 8.335, 15.236 False
229.218, 129.163, 8.335, 15.269 False
228.940, 129.164, 8.335, 15.302 False
228.662, 129.165, 8.335, 15.335 False
228.384, 129.166, 8.335, 15.368 False
228.107, 129.168, 8.334, 15.401 False
227.829, 129.169, 8.334, 15.434 False
227.551, 129.171, 8.334, 15.467 False
227.273, 129.173, 8.334, 15.500 False
226.995, 129.174, 8.334, 15.533 False
226.718, 129.176, 8.334, 15.566 False
226.440, 129.178, 8.334, 15.599 False
226.162, 129.180, 8.334, 15.632 False
225.884, 129.182, 8.334, 15.665 False
225.606, 129.184, 8.334, 15.698 False
225.329, 129.186, 8.334, 15.731 False
225.051, 129.188, 8.334, 15.764 False
224.773, 129.190, 8.334, 15.797 False
224.495, 129.192, 8.334, 15.830 False
224.217, 129.195, 8.334, 15.863 False
223.939, 129.197, 8.334, 15.896 False
223.662, 129.199, 8.334, 15.929 False
223.384, 129.202, 8.334, 15.962 False
223.106, 129.204, 8.334, 15.995 False
222.828, 129.207, 8.334, 16.028 False
222.551, 129.209, 8.334, 16.061 False
222.273, 129.212, 8.334, 16.094 False
221.995, 129.215, 8.334, 16.127 False
